    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/03/06,14:32:14,MCA
MCA Data File,.asc
Comment,Labo:
Date,2019/12/11,15:52:55
Live Time,0,Real Time,0,Preset time,10000000,Dead Time,0,(%)
Spectrum Data,Start ch,0,End ch,1023
  chn  ,  data
 829,   26608
 830,   26496
 831,   26305
 832,   26536
 833,   26475
 834,   26316
 835,   26419
 836,   26529
 837,   26308
 838,   26316
 839,   26296
 840,   26125
 841,   26485
 842,   26076
 843,   26007
 844,   26311
 845,   26120
 846,   26099
 847,   26057
 848,   25859
 849,   25755
 850,   25819
 851,   26149
 852,   25812
 853,   25947
 854,   26095
 855,   26186
 856,   26458
 857,   26497
 858,   26177
 859,   26206
 860,   25955
 861,   25607
 862,   25634
 863,   25456
 864,   25493
 865,   25709
 866,   25463
 867,   25497
 868,   25283
 869,   25480
 870,   25425
 871,   25482
 872,   25265
 873,   25091
 874,   24865
 875,   24558
 876,   24721
 877,   25045
 878,   24575
 879,   24450
 880,   24750
 881,   24718
 882,   24302
 883,   24760
 884,   24325
 885,   24737
 886,   25124
 887,   26220
 888,   27181
 889,   26951
 890,   25812
 891,   24432
 892,   23320
 893,   23060
 894,   22875
 895,   22602
 896,   22314
 897,   22455
 898,   22152
 899,   21951
 900,   21444
 901,   21404
 902,   21328
 903,   20930
 904,   20964
 905,   20977
 906,   20737
 907,   20609
 908,   20451
 909,   20143
 910,   20265
 911,   20419
 912,   20096
 913,   20080
 914,   20090
 915,   19524
 916,   19566
 917,   19589
 918,   19718
 919,   19293
 920,   19306
 921,   19404
 922,   19051
 923,   19414
 924,   19403
 925,   19094
 926,   19888
 927,   20948
 928,   23504
 929,   27211
 930,   29839
 931,   28891
 932,   25877
 933,   21785
 934,   19750
 935,   18574
 936,   18248
 937,   18413
 938,   18122
 939,   18213
 940,   18014
 941,   18177
 942,   17863
 943,   17669
 944,   18014
 945,   17888
 946,   17883
 947,   17721
 948,   17527
 949,   17797
 950,   17562
 951,   17498
 952,   17501
 953,   17497
 954,   17148
 955,   17233
 956,   17091
 957,   17233
 958,   17110
 959,   16989
 960,   17119
 961,   17072
 962,   16969
 963,   16829
 964,   17233
 965,   16860
 966,   16823
 967,   16851
 968,   16689
 969,   16779
 970,   16836
 971,   16860
 972,   16701
 973,   16763
 974,   16515
 975,   16634
 976,   16334
 977,   16344
 978,   16248
 979,   16587
 980,   16122
 981,   16180
 982,   16406
 983,   16248
 984,   15913
 985,   16282
 986,   16175
 987,   16254
 988,   15886
 989,   16064
 990,   16232
 991,   15845
 992,   15893
 993,   15890
 994,   15921
 995,   15606
 996,   15788
 997,   15919
 998,   15524
 999,   15668
1000,   15699
1001,   15638
1002,   15639
1003,   15428
1004,   15304
1005,   15415
