    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/03/06,14:31:36,MCA
MCA Data File,.asc
Comment,Labo:
Date,2019/12/11,15:52:55
Live Time,0,Real Time,0,Preset time,10000000,Dead Time,0,(%)
Spectrum Data,Start ch,0,End ch,1023
  chn  ,  data
 651,   31924
 652,   31848
 653,   31666
 654,   31595
 655,   31704
 656,   31480
 657,   31534
 658,   31142
 659,   31037
 660,   31206
 661,   31161
 662,   31308
 663,   31517
 664,   31110
 665,   31002
 666,   31027
 667,   30522
 668,   30600
 669,   30848
 670,   30743
 671,   30873
 672,   31037
 673,   31142
 674,   31376
 675,   31962
 676,   32034
 677,   31758
 678,   31408
 679,   30575
 680,   30759
 681,   29968
 682,   29908
 683,   30138
 684,   29747
 685,   29798
 686,   29746
 687,   30359
 688,   29549
 689,   29789
 690,   30076
 691,   29500
 692,   29641
 693,   29672
 694,   29195
 695,   29367
 696,   29560
 697,   30027
 698,   29999
 699,   29873
 700,   29581
 701,   29524
 702,   29016
 703,   29057
 704,   28952
 705,   28575
 706,   28802
 707,   28764
 708,   28628
 709,   28754
 710,   28514
 711,   28763
 712,   28404
 713,   28717
 714,   28366
 715,   28234
 716,   28464
 717,   28397
 718,   28442
 719,   27957
 720,   28123
 721,   28084
 722,   28380
 723,   28128
 724,   27887
 725,   27543
 726,   28009
 727,   27651
 728,   27716
 729,   27607
 730,   27779
 731,   27685
 732,   27654
 733,   27422
 734,   27542
 735,   27483
 736,   27730
 737,   27175
 738,   27205
 739,   27429
 740,   27063
 741,   27134
 742,   27088
 743,   26804
 744,   27062
 745,   26946
 746,   27141
 747,   27062
 748,   26810
 749,   27156
 750,   28463
 751,   30211
 752,   33095
 753,   34467
 754,   34075
 755,   31124
 756,   28261
 757,   27110
 758,   26257
 759,   26386
 760,   26101
 761,   26099
 762,   26502
 763,   26372
 764,   26111
 765,   26442
 766,   26403
 767,   26945
 768,   27166
 769,   26904
 770,   26930
 771,   26316
 772,   26154
 773,   25604
 774,   25709
 775,   25522
 776,   25568
 777,   25647
 778,   25393
 779,   25555
 780,   25525
 781,   25483
 782,   25719
 783,   25612
 784,   25454
 785,   25328
 786,   25443
 787,   25139
 788,   25149
 789,   24938
 790,   25410
 791,   25113
 792,   25061
 793,   25269
 794,   25071
 795,   25058
 796,   25246
 797,   24816
 798,   24905
 799,   24932
 800,   24979
 801,   24750
 802,   24853
 803,   24873
 804,   24625
 805,   24727
 806,   24604
 807,   24885
 808,   24481
 809,   24495
 810,   24570
 811,   24544
 812,   24298
 813,   24584
 814,   24780
 815,   24343
 816,   24444
 817,   24496
 818,   24242
 819,   24464
 820,   24264
 821,   24434
 822,   24095
 823,   24509
 824,   24205
 825,   24142
 826,   24354
 827,   23879
 828,   24184
 829,   24225
 830,   24046
 831,   24004
 832,   24107
 833,   24174
 834,   24105
 835,   24074
 836,   23967
 837,   23970
 838,   23908
 839,   23550
 840,   23946
 841,   23689
 842,   23771
 843,   24102
 844,   23646
 845,   23713
 846,   23910
 847,   23676
 848,   23592
 849,   23509
 850,   23709
 851,   23739
 852,   23951
 853,   24296
 854,   24361
 855,   24651
 856,   24189
 857,   23433
 858,   23260
 859,   23067
 860,   23272
 861,   23048
 862,   22743
 863,   23134
 864,   23124
 865,   23239
 866,   23163
 867,   23183
 868,   22943
 869,   22900
 870,   22607
 871,   23027
 872,   22812
 873,   22462
 874,   22617
 875,   22405
 876,   22446
 877,   22399
 878,   22453
 879,   22193
 880,   22085
 881,   21932
 882,   22722
 883,   22934
 884,   23799
 885,   25053
 886,   26147
 887,   25246
 888,   23808
 889,   21942
 890,   21524
 891,   21076
 892,   20810
 893,   20804
 894,   20564
 895,   20639
 896,   20429
 897,   20177
 898,   20048
 899,   20053
 900,   19581
 901,   19672
 902,   19678
 903,   19565
 904,   19270
 905,   19169
 906,   19254
 907,   19208
 908,   18920
 909,   19077
 910,   18544
 911,   18894
 912,   18478
 913,   18752
 914,   18605
 915,   18650
 916,   18471
 917,   18650
 918,   18348
 919,   18136
 920,   18649
 921,   18270
 922,   18393
 923,   18646
 924,   19383
 925,   21344
 926,   24561
 927,   29274
 928,   31985
 929,   30427
 930,   26057
 931,   21494
 932,   18834
 933,   17612
 934,   17492
 935,   17362
 936,   17170
 937,   16826
 938,   17151
 939,   16888
 940,   17147
 941,   16991
 942,   16817
 943,   17026
 944,   16932
 945,   16869
 946,   16724
 947,   16897
 948,   16550
 949,   16867
 950,   16562
 951,   16628
 952,   16443
 953,   16252
 954,   16409
 955,   16488
 956,   16548
 957,   16347
 958,   16454
 959,   16095
 960,   16324
 961,   16267
 962,   16397
 963,   16100
 964,   16155
 965,   16050
 966,   15998
 967,   15865
 968,   15920
 969,   15920
 970,   15918
 971,   16014
 972,   16023
 973,   15857
 974,   15696
 975,   15912
 976,   15649
 977,   15628
 978,   15282
 979,   15719
 980,   15661
 981,   15371
 982,   15475
 983,   15486
 984,   15522
 985,   15644
 986,   15259
 987,   15356
 988,   15286
 989,   15227
 990,   15227
 991,   15270
 992,   15132
 993,   15027
 994,   15159
 995,   15109
 996,   15144
 997,   14806
 998,   14913
 999,   15045
1000,   15089
1001,   14747
1002,   14932
1003,   14978
1004,   14781
1005,   14941
1006,   14615
1007,   15152
1008,   14919
1009,   14576
1010,   14675
1011,   14713
1012,   14513
1013,   14688
1014,   14494
1015,   14624
1016,   14497
1017,   14589
1018,   14234
1019,   14372
1020,   14022
1021,   14398
1022,   14277
1023,   14307
